control_id,title,attribute,applies_when,compliant_if,current_label,owner_role,question,options,scope,exemption_allowed,per_system_justification
A.3.2,Data steward assigned to the system,Steward_Status,all,assigned,Steward status,business,Has a named data steward been formally assigned to this system?,assigned|de_facto|unassigned,org_instance,N,Organizational control (roles/responsibilities). Assessed per system as: is a steward assigned to THIS system?
A.5.2,AI system impact assessment performed,Impact_Assessment,auto_or_pii,Y,Impact assessment,business,Has an AI system impact assessment been completed for this system?,Y|N,system,N,Impact assessment is performed for an AI system across its life cycle - inherently per system.
A.6.2.4,Verification and validation performed,Verification_Validation,all,Y,Verification & validation,technical,Has the system been verified and validated against documented acceptance criteria?,Y|N,system,Y,Verification and validation measures apply to the AI system - per system.
A.6.2.6,Operation reviewed within the audit window,__audit_current__,all,Y,Last review,business,Has this system been reviewed within the last 180 days?,Y|N,system,N,Operation and monitoring of the AI system - per system. Review currency used as the operational proxy.
A.6.2.7,Technical documentation maintained,Technical_Doc,all,Y,Technical documentation,technical,Is technical documentation for this system maintained and current?,Y|N,system,N,Technical documentation is produced for the AI system - per system.
A.6.2.8,Event logging enabled,Event_Logging,auto,Y,Event logging,technical,Is event logging enabled for this system in production?,Y|N,system,Y,Event logging enabled at least while the AI system is in use - per system.
A.7.4,Data quality regime in place,DQ_Regime,all,present,Data quality regime,technical,Is a documented data-quality regime in place for this system's data sources?,present|absent,system,Y,Data quality requirements apply to data used to develop/operate the AI system - per system.
A.7.5,Data provenance / lineage documented,Lineage_Status,all,complete,Lineage,technical,Is data provenance/lineage fully documented for this system?,complete|partial|absent,system,N,Provenance recorded for data used in the AI system - per system.
A.8.2,User-facing information provided,User_Transparency,pii,Y,User information,business,Is user-facing information provided to people who interact with this system?,Y|N,system,Y,Information for users of the AI system - per system where the system has users.
A.8.4,Incident-communication plan in place,Incident_Plan,all,Y,Incident plan,business,Are this system's users and AI-specific incident scenarios covered by the organizational incident-communication plan?,Y|N,org_instance,Y,Incident communication is an ORGANIZATIONAL capability (Annex B.8.4 permits integration into wider incident management). Per-system question narrowed to coverage of this system's users and AI-specific scenarios.
A.9.3,Human oversight defined,Human_Oversight,auto,Y,Human oversight,business,Is human oversight defined for this system's automated decisions?,Y|N,system,Y,"Objectives for responsible use incl. human oversight, applied to the AI system - per system."
A.9.4,Intended use documented,Intended_Use_Doc,all,Y,Intended-use documentation,business,Is the intended use of this system documented?,Y|N,system,N,Intended use of the AI system - inherently per system.
